country,year,value,unit,category
AT,1995,30290.0,Euros,GDP per capita
BE,1995,28400.0,Euros,GDP per capita
BG,1995,3630.0,Euros,GDP per capita
CY,1995,17530.0,Euros,GDP per capita
CZ,1995,10320.0,Euros,GDP per capita
DE,1995,28960.0,Euros,GDP per capita
DK,1995,39110.0,Euros,GDP per capita
EA20,1995,24610.0,Euros,GDP per capita
EE,1995,6410.0,Euros,GDP per capita
EL,1995,14290.0,Euros,GDP per capita
ES,1995,18220.0,Euros,GDP per capita
EU27_2020,1995,20910.0,Euros,GDP per capita
FI,1995,26940.0,Euros,GDP per capita
FR,1995,26540.0,Euros,GDP per capita
HR,1995,6520.0,Euros,GDP per capita
HU,1995,6940.0,Euros,GDP per capita
IE,1995,25900.0,Euros,GDP per capita
IT,1995,26510.0,Euros,GDP per capita
LT,1995,4440.0,Euros,GDP per capita
LU,1995,67360.0,Euros,GDP per capita
LV,1995,4200.0,Euros,GDP per capita
MT,1995,,Euros,GDP per capita
NL,1995,30570.0,Euros,GDP per capita
PL,1995,5150.0,Euros,GDP per capita
PT,1995,14250.0,Euros,GDP per capita
RO,1995,4120.0,Euros,GDP per capita
SE,1995,31610.0,Euros,GDP per capita
SI,1995,11980.0,Euros,GDP per capita
SK,1995,6990.0,Euros,GDP per capita
AT,1996,30920.0,Euros,GDP per capita
BE,1996,28720.0,Euros,GDP per capita
BG,1996,3840.0,Euros,GDP per capita
CY,1996,17470.0,Euros,GDP per capita
CZ,1996,10770.0,Euros,GDP per capita
DE,1996,29210.0,Euros,GDP per capita
DK,1996,39990.0,Euros,GDP per capita
EA20,1996,24980.0,Euros,GDP per capita
EE,1996,6840.0,Euros,GDP per capita
EL,1996,14430.0,Euros,GDP per capita
ES,1996,18620.0,Euros,GDP per capita
EU27_2020,1996,21260.0,Euros,GDP per capita
FI,1996,27840.0,Euros,GDP per capita
FR,1996,26820.0,Euros,GDP per capita
HR,1996,7010.0,Euros,GDP per capita
HU,1996,6960.0,Euros,GDP per capita
IE,1996,27620.0,Euros,GDP per capita
IT,1996,26850.0,Euros,GDP per capita
LT,1996,4700.0,Euros,GDP per capita
LU,1996,67480.0,Euros,GDP per capita
LV,1996,4350.0,Euros,GDP per capita
MT,1996,,Euros,GDP per capita
NL,1996,31470.0,Euros,GDP per capita
PL,1996,5460.0,Euros,GDP per capita
PT,1996,14700.0,Euros,GDP per capita
RO,1996,4300.0,Euros,GDP per capita
SE,1996,32100.0,Euros,GDP per capita
SI,1996,12320.0,Euros,GDP per capita
SK,1996,7400.0,Euros,GDP per capita
AT,1997,31540.0,Euros,GDP per capita
BE,1997,29740.0,Euros,GDP per capita
BG,1997,3320.0,Euros,GDP per capita
CY,1997,17680.0,Euros,GDP per capita
CZ,1997,10720.0,Euros,GDP per capita
DE,1997,29730.0,Euros,GDP per capita
DK,1997,41080.0,Euros,GDP per capita
EA20,1997,25590.0,Euros,GDP per capita
EE,1997,7830.0,Euros,GDP per capita
EL,1997,14870.0,Euros,GDP per capita
ES,1997,19210.0,Euros,GDP per capita
EU27_2020,1997,21810.0,Euros,GDP per capita
FI,1997,29530.0,Euros,GDP per capita
FR,1997,27400.0,Euros,GDP per capita
HR,1997,7480.0,Euros,GDP per capita
HU,1997,7180.0,Euros,GDP per capita
IE,1997,30350.0,Euros,GDP per capita
IT,1997,27360.0,Euros,GDP per capita
LT,1997,5120.0,Euros,GDP per capita
LU,1997,70230.0,Euros,GDP per capita
LV,1997,4790.0,Euros,GDP per capita
MT,1997,,Euros,GDP per capita
NL,1997,32640.0,Euros,GDP per capita
PL,1997,5810.0,Euros,GDP per capita
PT,1997,15270.0,Euros,GDP per capita
RO,1997,4100.0,Euros,GDP per capita
SE,1997,33070.0,Euros,GDP per capita
SI,1997,12980.0,Euros,GDP per capita
SK,1997,7790.0,Euros,GDP per capita
AT,1998,32610.0,Euros,GDP per capita
BE,1998,30260.0,Euros,GDP per capita
BG,1998,3460.0,Euros,GDP per capita
CY,1998,18530.0,Euros,GDP per capita
CZ,1998,10690.0,Euros,GDP per capita
DE,1998,30380.0,Euros,GDP per capita
DK,1998,41900.0,Euros,GDP per capita
EA20,1998,26300.0,Euros,GDP per capita
EE,1998,8250.0,Euros,GDP per capita
EL,1998,15300.0,Euros,GDP per capita
ES,1998,19960.0,Euros,GDP per capita
EU27_2020,1998,22430.0,Euros,GDP per capita
FI,1998,31060.0,Euros,GDP per capita
FR,1998,28250.0,Euros,GDP per capita
HR,1998,7650.0,Euros,GDP per capita
